Unnamed: 0,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
0,Acer,Gaming,15.6,1920x1200,Apple M3 Pro,64GB,1TB SSD,NVIDIA RTX 4050,macOS,2.09kg,124992.47
1,HP,Notebook,16.0,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,16GB,1TB SSD,NVIDIA RTX 4070,Windows 10,2.07kg,94749.02
2,HP,Notebook,16.0,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,16GB,512GB SSD,AMD Radeon 780M,No OS,2.42kg,66739.62
3,Asus,Netbook,14.0,OLED 2880x1800,Apple M2,32GB,512GB SSD,NVIDIA RTX 4060,Windows 10,1.02kg,204236.13
4,HP,Netbook,14.0,2560x1600,Intel Core i5 1240P 3.3GHz,16GB,256GB SSD,NVIDIA RTX 4070,macOS,1.94kg,246246.84
5,Dell,2 in 1 Convertible,14.0,1920x1080,Apple M2,8GB,256GB SSD,Integrated AMD Radeon,Linux,2.04kg,83252.23
6,Acer,Notebook,15.6,IPS Panel 1920x1080,AMD Ryzen 5 7530U 2.0GHz,32GB,512GB SSD,NVIDIA RTX 4070,Windows 11,1.58kg,236670.38
7,Razer,Workstation,14.0,IPS Panel 1920x1080,AMD Ryzen 7 7840HS 3.8GHz,64GB,512GB SSD,NVIDIA RTX 4050,No OS,2.08kg,144586.01
8,Asus,2 in 1 Convertible,17.3,Retina 2560x1600,Intel Core i7 1360P 3.7GHz,8GB,512GB SSD,NVIDIA RTX 4060,Windows 11,2.13kg,35498.88
9,Lenovo,Workstation,13.3,2560x1600,Apple M2,64GB,1TB SSD,Apple M3 GPU,Linux,1.06kg,174583.5
10,MSI,Gaming,14.0,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,64GB,1TB SSD,Apple M3 GPU,Windows 11,1.22kg,101476.89
11,Apple,Netbook,13.3,2560x1600,Intel Core i7 1360P 3.7GHz,8GB,1TB SSD,Intel Iris Xe,Windows 11,2.01kg,77092.64
12,Razer,2 in 1 Convertible,14.0,OLED 2880x1800,AMD Ryzen 7 7840HS 3.8GHz,64GB,512GB SSD,AMD Radeon 780M,Windows 10,2.11kg,116405.76
13,Acer,Notebook,17.3,2880x1800,AMD Ryzen 5 7530U 2.0GHz,16GB,256GB SSD,Integrated AMD Radeon,macOS,1.68kg,126288.98
14,Microsoft,Gaming,16.0,3840x2160,Apple M2,64GB,256GB SSD,NVIDIA RTX 4070,Linux,2.35kg,56294.79
15,MSI,Netbook,15.6,3840x2160,Intel Core i5 1240P 3.3GHz,32GB,2TB SSD,NVIDIA RTX 4060,Windows 10,1.27kg,214522.23
16,Lenovo,Workstation,14.0,3840x2160,Apple M3 Pro,64GB,256GB SSD,AMD Radeon 780M,Windows 10,2.41kg,126532.76
17,MSI,Workstation,14.0,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,8GB,256GB SSD,Apple M3 GPU,Linux,2.37kg,72514.05
18,Acer,Workstation,15.6,1920x1080,Intel Core i7 1360P 3.7GHz,64GB,2TB SSD,NVIDIA RTX 4050,Windows 10,1.23kg,43497.63
19,Microsoft,2 in 1 Convertible,16.0,1920x1200,Intel Core i5 1240P 3.3GHz,8GB,256GB SSD,NVIDIA RTX 4070,Windows 10,2.32kg,128607.9
20,HP,Gaming,15.6,1920x1200,Intel Core i5 1240P 3.3GHz,8GB,2TB SSD,NVIDIA RTX 4050,macOS,1.39kg,47414.62
21,Dell,Gaming,17.3,1920x1200,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,AMD Radeon 780M,Windows 11,1.93kg,168449.36
22,Asus,Workstation,14.0,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,32GB,2TB SSD,NVIDIA RTX 4070,No OS,1.05kg,106327.28
23,Asus,2 in 1 Convertible,17.3,Retina 2560x1600,Apple M3 Pro,8GB,512GB SSD,NVIDIA RTX 4050,Windows 11,1.47kg,187948.94
24,Microsoft,Ultrabook,17.3,2560x1600,AMD Ryzen 5 7530U 2.0GHz,16GB,512GB SSD,Intel Iris Xe,Windows 10,2.19kg,112094.7
25,Dell,Notebook,16.0,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,16GB,1TB SSD,NVIDIA RTX 4060,Windows 11,2.32kg,39759.23
26,Acer,Gaming,17.3,1920x1080,Apple M3 Pro,32GB,256GB SSD,Apple M3 GPU,macOS,1.12kg,115167.63
27,Acer,Workstation,14.0,Retina 2560x1600,AMD Ryzen 5 7530U 2.0GHz,32GB,2TB SSD,Apple M3 GPU,Windows 11,1.8kg,128005.86
28,Apple,Netbook,15.6,3840x2160,Apple M2,16GB,2TB SSD,AMD Radeon 780M,Windows 11,1.99kg,115570.75
29,Apple,Netbook,13.3,3840x2160,Intel Core i5 1240P 3.3GHz,8GB,1TB SSD,NVIDIA RTX 4060,No OS,2.46kg,38573.28
30,HP,Gaming,15.6,OLED 2880x1800,Apple M3 Pro,64GB,2TB SSD,NVIDIA RTX 4050,Windows 11,1.1kg,38783.22
31,Razer,Ultrabook,16.0,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,16GB,2TB SSD,Intel Iris Xe,Windows 11,2.23kg,198122.14
32,HP,Notebook,17.3,1920x1080,Apple M2,16GB,1TB SSD,AMD Radeon 780M,Windows 11,1.98kg,220362.15
33,Asus,Notebook,14.0,IPS Panel 1920x1080,Apple M3 Pro,16GB,512GB SSD,AMD Radeon 780M,Windows 10,1.11kg,59850.2
34,Dell,Workstation,14.0,Retina 2560x1600,Intel Core i7 1360P 3.7GHz,16GB,2TB SSD,Intel Iris Xe,Linux,1.41kg,129161.09
35,MSI,2 in 1 Convertible,17.3,3840x2160,Intel Core i7 1360P 3.7GHz,32GB,2TB SSD,AMD Radeon 780M,Linux,2.3kg,225493.8
36,Samsung,2 in 1 Convertible,15.6,1920x1200,Intel Core i9 13900H 5.4GHz,16GB,512GB SSD,NVIDIA RTX 4060,macOS,1.31kg,51066.89
37,MSI,2 in 1 Convertible,14.0,2560x1600,Apple M2,8GB,2TB SSD,AMD Radeon 780M,macOS,1.7kg,82424.97
38,Microsoft,Ultrabook,17.3,2880x1800,Intel Core i5 1240P 3.3GHz,16GB,1TB SSD,Integrated AMD Radeon,Windows 11,1.07kg,190340.1
